origin_id,destination_id,distance_km,time_min
0,1,42.56352,48.655
0,2,17.81759,16.290166666666668
0,3,10.896,17.520166666666668
0,4,37.81268,35.333666666666666
0,5,49.539019999999994,50.257333333333335
0,6,23.95277,29.026
0,7,9.99926,15.658
0,8,3.4609,9.1185
0,9,8.845790000000001,11.006666666666666
0,10,15.05246,21.14
1,0,39.77768,48.5975
1,2,58.694230000000005,57.45783333333333
1,3,48.46367,54.72033333333333
1,4,96.70573,75.507
1,5,66.71841,78.51883333333333
1,6,68.54941000000001,70.45066666666666
1,7,66.07195,57.675
1,8,39.18711,50.80216666666667
1,9,38.84011,46.526666666666664
1,10,28.71304,30.1495
2,0,12.49459,17.778666666666666
2,1,64.61123,56.9765
2,3,5.84413,9.207833333333332
2,4,31.20504,31.902833333333337
2,5,45.22968,53.715333333333334
2,6,21.16852,26.174166666666668
2,7,3.15298,4.284000000000001
2,8,14.76996,23.205
2,9,12.31741,19.501666666666665
2,10,25.14547,31.2075
3,0,10.94884,17.698833333333333
3,1,51.02102,54.567
3,2,5.17186,8.164
3,4,33.81657,36.047
3,5,45.83128,55.970666666666666
3,6,21.2937,29.467666666666663
3,7,4.11712,6.830666666666667
3,8,15.01791,24.883666666666667
3,9,9.24861,15.8675
3,10,21.00947,27.2615
4,0,37.74653,35.20883333333334
4,1,96.34095,75.61816666666667
4,2,31.097759999999997,31.7665
4,3,33.633089999999996,35.621
4,5,44.3891,45.517500000000005
4,6,17.87026,21.391833333333334
4,7,31.02191,31.43166666666667
4,8,40.35555,40.537166666666664
4,9,41.35136,37.986
4,10,54.08073,49.261
5,0,49.04374,50.035999999999994
5,1,66.5423,77.52466666666666
5,2,45.05417,53.0675
5,3,45.81456,55.78916666666667
5,4,44.55341000000001,46.61583333333333
5,6,30.42221,36.54600000000001
5,7,43.20338,51.59983333333333
5,8,51.65275,55.36416666666666
5,9,52.64857,52.813
5,10,65.37794,64.08800000000001
6,0,23.46172,27.807333333333336
6,1,71.20741000000001,70.1135
6,2,21.07665,26.024333333333335
6,3,23.24871,28.9585
6,4,17.99706,22.194833333333335
6,5,30.51556,36.867666666666665
6,7,20.63754,24.769
6,8,26.07074,33.135666666666665
6,9,30.966990000000003,31.323500000000003
6,10,43.69636,42.598499999999994
7,0,10.49779,15.8745
7,1,64.88415,57.0295
7,2,3.00696,3.8473333333333337
7,3,4.777819999999999,7.658
7,4,31.21816,31.8875
7,5,43.232879999999994,51.811
7,6,18.69529,25.30816666666667
7,8,12.77316,21.300833333333333
7,9,11.2511,17.951999999999998
7,10,24.07916,29.657833333333333
8,0,3.42323,9.126
8,1,41.91188,50.7735
8,2,20.45124,22.06833333333333
8,3,17.52597,24.92983333333333
8,4,40.44633,41.11183333333334
8,5,52.17268,56.0355
8,6,26.58643,34.80416666666667
8,7,12.63292,21.43616666666667
8,9,4.91272,13.832833333333332
8,10,14.40082,23.2585
9,0,5.40471,11.682333333333334
9,1,41.31448,46.565000000000005
9,2,21.75162,20.0305
9,3,9.25681,16.534166666666668
9,4,41.74671,39.07383333333333
9,5,53.47305,53.997499999999995
9,6,31.606810000000003,33.02333333333333
9,7,11.27762,18.727666666666668
9,8,4.8141300000000005,13.887
9,10,13.80342,19.049833333333332
10,0,14.53846,20.448500000000003
10,1,28.48083,30.067166666666665
10,2,33.455,29.308833333333332
10,3,20.72041,27.122833333333332
10,4,53.45009,48.35216666666667
10,5,65.17643,63.27583333333334
10,6,43.310190000000006,42.30166666666666
10,7,23.68974,29.787166666666668
10,8,13.94788,22.653
10,9,13.60089,18.377666666666663
