pharmacy_id,latitude,longitude
1,48.94406,2.864255
2,48.900584,2.811949
3,48.95022,3.129599
4,48.704969,2.87494
5,49.102413,2.954541
6,49.236792,2.887742
7,49.172116,2.733907
8,48.826948,3.034279
9,48.847628,3.231976
10,48.711638,2.856476
11,49.234527,2.887277
12,48.957707,2.951751
13,48.820937,2.958824
14,49.141267,2.797762
15,48.630919,2.80994
16,48.881874,2.850669
17,48.701927,3.24437
18,48.813526,3.083797
19,49.072507,2.676166
20,48.894811,2.794229
21,49.55403,5.53427
22,48.880415,2.762341
23,49.014653,2.708968
24,48.739193,2.743775
25,48.900976,2.876766
26,48.93615,2.876124
27,48.85918,2.90743
28,48.683388,2.957143
29,48.900584,2.811949
